"","temperatura","fechas"
"936",31.2,2022-07-24
"937",29.6,2022-07-25
"938",29,2022-07-26
"939",29.8,2022-07-27
"940",30.3,2022-07-28
"941",28.2,2022-07-29
"942",30,2022-07-30
"943",31.9,2022-07-31
"944",31.8,2022-08-01
"945",31.2,2022-08-02
"946",30.1,2022-08-03
"947",30.5,2022-08-04
"948",30.3,2022-08-05
"949",30.3,2022-08-06
"950",30,2022-08-07
"951",30.8,2022-08-08
"952",31,2022-08-09
"953",30.5,2022-08-10
"954",30.5,2022-08-11
"955",26.2,2022-08-12
"956",25.4,2022-08-13
"957",25.6,2022-08-14
"958",24.7,2022-08-15
"959",22,2022-08-16
"960",22.1,2022-08-17
"961",23.9,2022-08-18
"962",27.4,2022-08-19
"963",28.9,2022-08-20
"964",27.2,2022-08-21
"965",28.9,2022-08-22
"966",29.6,2022-08-23
"967",28.4,2022-08-24
"968",25.7,2022-08-25
"969",26.1,2022-08-26
"970",28.1,2022-08-27
"971",28,2022-08-28
"972",28,2022-08-29
"973",26.8,2022-08-30
"974",25.7,2022-08-31
"975",24.5,2022-09-01
"976",23.4,2022-09-02
"977",23.1,2022-09-03
"978",22.6,2022-09-04
"979",22.6,2022-09-05
"980",21.7,2022-09-06
"981",23.7,2022-09-07
"982",25.8,2022-09-08
"983",27,2022-09-09
"984",28,2022-09-10
"985",26,2022-09-11
"986",21.2,2022-09-12
"987",20.1,2022-09-13
"988",20.7,2022-09-14
"989",22.5,2022-09-15
"990",22.6,2022-09-16
"991",23.8,2022-09-17
"992",23,2022-09-18
"993",22.5,2022-09-19
"994",23.2,2022-09-20
"995",23.2,2022-09-21
"996",22.7,2022-09-22
"997",21,2022-09-23
"998",16.2,2022-09-24
"999",16.9,2022-09-25
"1000",18.3,2022-09-26
"1001",14.8,2022-09-27
"1002",15.3,2022-09-28
"1003",0,2022-09-29
"1004",17.3,2022-09-30
"1005",20.4,2022-10-01
"1006",21.8,2022-10-02
"1007",22.3,2022-10-03
"1008",22.5,2022-10-04
"1009",21.1,2022-10-05
"1010",19.5,2022-10-06
"1011",20.3,2022-10-07
"1012",20.2,2022-10-08
"1013",18,2022-10-09
"1014",18.3,2022-10-10
